av2000,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,947,,,,
1D,872,828,748,939,966
2D,2969,2741,3309,3521,3477
Invasive,3315,3300,2654,27302,2783
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,1236,,,,
1D,828,746,725,960,992
2D,3042,2726,2981,3717,3560
Invasive,3224,3255,2601,26337,2989
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,1012,,,,
1D,836,745,748,946,1229
2D,2978,2781,3024,3626,3546
Invasive,3222,3250,2738,15083,6068
,,,,,

Fastest,,,,,
Seriell,947,,,,
1D,828,745,725,939,966
2D,2969,2726,2981,3521,3477
Invasive,3222,3250,2601,15083,2783
,,,,,
Average,,,,,
Seriell,1065,,,,
1D,845.33,773,740.33,948.33,1062.33
2D,2996.33,2749.33,3104.67,3621.33,3527.67
Invasive,3253.67,3268.33,2664.33,22907.33,3946.67
