,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,381,,,,
1D,366,414,426,405,424
2D,1196,1062,999,1126,1240
Invasive,1235,1289,888,918,929
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,387,,,,
1D,370,318,282,385,442
2D,1194,1066,1027,1140,1170
Invasive,1215,1287,932,963,945
,,,,,
,1 Place,2 Places,4 Places,8 Places, 9 Places
Seriell,379,,,,
1D,367,318,273,353,464
2D,1194,1045,1205,1175,1227
Invasive,1223,1287,856,926,977
,,,,,

Fastest Run,,,,,
Seriell,379,,,,
1D,366,318,273,353,424
2D,1194,1045,999,1126,1170
Invasive,1215,1287,856,918,929
,,,,,
Average Time,,,,,
Seriell,382.33,,,,
1D,367.67,350,327,381,443.33
2D,1194.67,1057.67,1077,1147,1212.33
Invasive,1224.33,1287.67,892,935.67,950.33
